Delta y_MSE phi
1.000000000000000021e-03 9.878366911597350961e-04 -5.874017888634848195e-01
1.123324032978026540e-03 1.109296473425351939e-03 -5.877682601365425974e-01
1.261856883066021133e-03 1.244316865463065015e-03 -5.881670507081847576e-01
1.417474162926804808e-03 1.395493236498253744e-03 -5.885862620809066970e-01
1.592282793341093759e-03 1.565831794083987318e-03 -5.890403386733011892e-01
1.788649529057435026e-03 1.758851327155538848e-03 -5.895358223514985951e-01
2.009233002565045858e-03 1.970771671779229101e-03 -5.900653605525449930e-01
2.257019719633921329e-03 2.210943114921187086e-03 -5.906349607274300473e-01
2.535364493970111363e-03 2.479599928740779460e-03 -5.912437821250320358e-01
2.848035868435804668e-03 2.780703784275636442e-03 -5.919081333215716612e-01
3.199267137797384610e-03 3.118466876330607766e-03 -5.926207743464722011e-01
3.593813663804625805e-03 3.496394359115851096e-03 -5.933821084128089174e-01
4.037017258596557745e-03 3.917674829575026191e-03 -5.941959311838167501e-01
4.534878508128581745e-03 4.390896310748871115e-03 -5.950858754640135917e-01
5.094138014816375348e-03 4.920742188156974894e-03 -5.960388159486628146e-01
5.722367659350220161e-03 5.512143080536009883e-03 -5.970568887017089210e-01
6.428073117284318835e-03 6.175872353983248748e-03 -5.981442237703412657e-01
7.220809018385471005e-03 6.917569481204160868e-03 -5.993069278850449155e-01
8.111308307896872294e-03 7.742384561095574241e-03 -6.005754370534471809e-01
9.111627561154887062e-03 8.666796684538692272e-03 -6.019307557685650290e-01
1.023531021899026783e-02 9.699071324648596282e-03 -6.033798745804346275e-01
1.149756995397735633e-02 1.085228606099303099e-02 -6.049243806667139456e-01
1.291549665014883955e-02 1.213685105042489228e-02 -6.066096750320817410e-01
1.450828778495940122e-02 1.357143820091600422e-02 -6.084069814347933258e-01
1.629750834620645114e-02 1.516996809181060321e-02 -6.103251310656871986e-01
1.830738280295367976e-02 1.694872120824760311e-02 -6.123712701668959646e-01
2.056512308348651397e-02 1.893043753442030450e-02 -6.145973153440502657e-01
2.310129700083160542e-02 2.113432710855176269e-02 -6.169707073152338461e-01
2.595024211399737241e-02 2.358222627932507129e-02 -6.194990370121480350e-01
2.915053062825175706e-02 2.630599427311745495e-02 -6.221921215764341095e-01
3.274549162877728181e-02 2.932820961909054017e-02 -6.251182093362757097e-01
3.678379771828634015e-02 3.267826732649411342e-02 -6.282325950396639991e-01
4.132012400115338963e-02 3.638898763529618829e-02 -6.315452695852832310e-01
4.641588833612777382e-02 4.049720906615288107e-02 -6.350669683097431850e-01
5.214008287999684355e-02 4.504145648043435257e-02 -6.388876704491379677e-01
5.857020818056667133e-02 5.006183260055485640e-02 -6.429458740775664261e-01
6.579332246575682330e-02 5.559783059218800783e-02 -6.472541513873077967e-01
7.390722033525783108e-02 6.169774998737477534e-02 -6.518251705951270125e-01
8.302175681319744205e-02 6.840675683027225285e-02 -6.567733688640257084e-01
9.326033468832199691e-02 7.578016604552535729e-02 -6.620173886473119662e-01
1.047615752789665122e-01 8.386763205232992957e-02 -6.675713969295834493e-01
1.176811952434999031e-01 9.272097811811078061e-02 -6.734497497479439154e-01
1.321941148466028726e-01 1.024000295376444325e-01 -6.797964953476770544e-01
1.484968262254464932e-01 1.129590329757717837e-01 -6.865046595262143114e-01
1.668100537200059019e-01 1.244526700109997441e-01 -6.935893317355126264e-01
1.873817422860384885e-01 1.369352127724003942e-01 -7.010656152511997030e-01
2.104904144512019792e-01 1.504649806090463393e-01 -7.091123623047916880e-01
2.364489412645407185e-01 1.650914192975279637e-01 -7.175899434247978714e-01
2.656087782946686682e-01 1.808484713229667473e-01 -7.265130515562198132e-01
