Delta y_MSE
1.000000000000000056e-01 1.886099212699962058e-01
1.047615752789664845e-01 1.970787673867175627e-01
1.097498765493056250e-01 2.059031601761392438e-01
1.149756995397735598e-01 2.150953567915818154e-01
1.204503540258782118e-01 2.246571281184768787e-01
1.261856883066020396e-01 2.346174280357545272e-01
1.321941148466029003e-01 2.449964224437171656e-01
1.384886371393873050e-01 2.557786911345754088e-01
1.450828778495939775e-01 2.669725787628709490e-01
1.519911082952933867e-01 2.786047005030026225e-01
1.592282793341092129e-01 2.906540416394409743e-01
1.668100537200058742e-01 3.032126427287807902e-01
1.747528400007683780e-01 3.162636638312126269e-01
1.830738280295368392e-01 3.297447888996200005e-01
1.917910261672488847e-01 3.437265448338057139e-01
2.009233002565046777e-01 3.581568164083245853e-01
2.104904144512020903e-01 3.731764045999207968e-01
2.205130739903045645e-01 3.886623919397080851e-01
2.310129700083159709e-01 4.046727693310797624e-01
2.420128264794382256e-01 4.211864737949614912e-01
2.535364493970111988e-01 4.382234469754580086e-01
2.656087782946686682e-01 4.557325262569760227e-01
2.782559402207124277e-01 4.738391044510373851e-01
2.915053062825177510e-01 4.924730187334811493e-01
3.053855508833415722e-01 5.113618559339798697e-01
3.199267137797383587e-01 5.307962679268671824e-01
3.351602650938842465e-01 5.509793897692789599e-01
3.511191734215131643e-01 5.711034313474006030e-01
3.678379771828634293e-01 5.917925534405137356e-01
3.853528593710529582e-01 6.129059019145624010e-01
4.037017258596554692e-01 6.341925900258222892e-01
4.229242874389498863e-01 6.559205062011943532e-01
4.430621457583880929e-01 6.776433667981907050e-01
4.641588833612779741e-01 6.990595346668200261e-01
4.862601580065354923e-01 7.207728253604293034e-01
5.094138014816380622e-01 7.419174658894756025e-01
5.336699231206309957e-01 7.627108437679555042e-01
5.590810182512223614e-01 7.825733247259244463e-01
5.857020818056667411e-01 8.017451156605408524e-01
6.135907273413173657e-01 8.200587339946024956e-01
6.428073117284321958e-01 8.373841759506028826e-01
6.734150657750823665e-01 8.535460889089817593e-01
7.054802310718644165e-01 8.688112707536477242e-01
7.390722033525779500e-01 8.830175303220683114e-01
7.742636826811272188e-01 8.959610030934925806e-01
8.111308307896872849e-01 9.077135303535490696e-01
8.497534359086444944e-01 9.184375274847863535e-01
8.902150854450388007e-01 9.284978980388325365e-01
9.326033468832198858e-01 9.367086055046718318e-01
9.770099572992253512e-01 9.444222878820140998e-01
1.023531021899026339e+00 9.512390384004376642e-01
1.072267222010323762e+00 9.571427741300961856e-01
1.123324032978027631e+00 9.623452771859758448e-01
1.176811952434998476e+00 9.667601794394398151e-01
1.232846739442066575e+00 9.706554429571097042e-01
1.291549665014884107e+00 9.740590982292203215e-01
1.353047774579807516e+00 9.768272142791873947e-01
1.417474162926805503e+00 9.793029393217298484e-01
1.484968262254465099e+00 9.813972807484865335e-01
1.555676143930472266e+00 9.832253756005560064e-01
1.629750834620644406e+00 9.848184387640639414e-01
1.707352647470691265e+00 9.861654490796776251e-01
1.788649529057435128e+00 9.873277983021272464e-01
1.873817422860384996e+00 9.884360614746544593e-01
1.963040650040271506e+00 9.893569817053082804e-01
2.056512308348651619e+00 9.901816286565363612e-01
2.154434690031884259e+00 9.908824050443227893e-01
2.257019719633920118e+00 9.916229667940443804e-01
2.364489412645408350e+00 9.921061618934723381e-01
2.477076355991711498e+00 9.926604762130634141e-01
2.595024211399737268e+00 9.929484709162346157e-01
2.718588242732941307e+00 9.935077599504298362e-01
2.848035868435801810e+00 9.938695755353745831e-01
2.983647240283340274e+00 9.940609049195464619e-01
3.125715849688236680e+00 9.944681956698213643e-01
3.274549162877729902e+00 9.949980362717514293e-01
3.430469286314919319e+00 9.951190884992625607e-01
3.593813663804627634e+00 9.952435154206662471e-01
3.764935806792469197e+00 9.953155694951165700e-01
3.944206059437656009e+00 9.956583572352251110e-01
4.132012400115338657e+00 9.959156320989046574e-01
4.328761281083059131e+00 9.959203381975718639e-01
4.534878508128584507e+00 9.961679260309832529e-01
4.750810162102798273e+00 9.964146283127375270e-01
4.977023564332111683e+00 9.965099734828779532e-01
5.214008287999686964e+00 9.965751490500520671e-01
5.462277217684342823e+00 9.965057010816043004e-01
5.722367659350219959e+00 9.964955981732324108e-01
5.994842503189412142e+00 9.968593856211095394e-01
6.280291441834256361e+00 9.969798321040177491e-01
6.579332246575682497e+00 9.971271519991424803e-01
6.892612104349698399e+00 9.970143800192474703e-01
7.220809018385467404e+00 9.971367845780190198e-01
7.564633275546290392e+00 9.969297691165979192e-01
7.924828983539177862e+00 9.977412749060954322e-01
8.302175681319747369e+00 9.971574646125986874e-01
8.697490026177835176e+00 9.974077214655475698e-01
9.111627561154895361e+00 9.971193619656385509e-01
9.545484566618341660e+00 9.973773897210465034e-01
1.000000000000000000e+01 9.974345062877310042e-01
